written report . ||| kursen examineras i form av en skriftlig rapport
skilfully elicit software requirements , ||| skicklig framtagning av programvarukrav ,
prioritise requirements , ||| prioritera krav ,
assure the quality of requirements and requirements specifications , ||| kvalitetssäkra krav och kravspecifikationer ,
be able to assess current requirements engineering practices in a software project or a software development company . ||| kunna bedöma nuvarande praxis av kravhantering i ett mjukvaruprojekt eller ett företag inom mjukvaruutveckling .
to be eligible for this course the student should ||| för behörighet till kursen krävs minst
1) have a bachelor degree in software engineering , computer science or equivalent , including a successfully completed course in programming ( e.g. dat042 , dat050 , dat055 , dat170 , tda545 , tda550 or equivalent ) , and ||| 1) en kandidatexamen i software engineering , programvaruteknik , datavetenskap eller motsvarande , inklusive an godkänd kurs i programmering ( t.ex. dat042 , dat050 , dat055 , dat170 , tda545 , tda550 eller motsvarande ) , och
2) a successfully completed course in practical software development or software engineering project ( e.g. dat255 software engineering project ) . ||| 2) en godkänd kurs i praktisk mjukvaruutveckling eller programvaruteknik projekt ( t.ex. dat255 software engineering project ) .
this course will deal with an area of current interest in computer science and engineering . ||| kursen kommer att behandla ett område av aktuellt intresse inom data- och informationsteknik .
the aim of this course is to give the student the chance to follow , for example , a graduate course or a lecture series by a visiting researcher at the department . ||| kursens syfte är att ge studenten möjlighet att följa , till exempel , en doktorandkurs eller en föreläsningsserie som ges av en gästforskare vid institutionen .
research-oriented course in a field of relevance to computer science and engineering . ||| forskningsinriktad kurs inom ett område relevant för data- och informationsteknik .
the examination might vary on each instance of the course . ||| examination i denna kurs varierar beroende på kurstillfälle .
further information will be given on the course home page . ||| mer detaljerad information om hur kursen examineras ska presenteras på kurshemsidan .
the course shall give the student further knowledge in a research area of relevance to computer science and engineering . ||| kursen skall tillhandahålla studenten djupare kunskaper avseende ett forskningsområde relevant för ämnet data- och informationsteknik .
knowledge and understanding ||| kunskap och förståelse
master the terminology , concepts and theories associated with the selected area ; ||| förstå och förklara terminologi , koncept och teori kopplade till valt forskningsområde ;
demonstrate deep knowledge and understanding in the area of the course , and insight into current research and development ; ||| redogöra för och förklara forskningsområdet , samt visa förståelse för aktuell forskning och utveckling i det valda forskningsområdet ;
demonstrate deep methodological knowledge in the area of the course ; ||| redogöra för och förklara forskningsmetoder inom valt forskningsområde ;
skills and abilities ||| färdighet och förmåga
demonstrate the ability to critically and systematically integrate knowledge and to analyse , assess , and deal with complex issues in the area of the course ; ||| visa på en förmåga att kritiskt och systematiskt integrera kunskaper , och att analysera , bedöma och hantera komplexa frågor i valt forskningsområde ;
judgement and approach ||| värderingsförmåga och förhållningssätt
search for , and extract , necessary information from scientific publications in the selected area of the course , with the purpose of identifying strengths and weakness of solutions , approaches and methodologies . ||| söka efter , samt extrahera , nödvändig information från vetenskapliga publikationer inom valt forskningsområde , i syfte att bedöma lämpligheten av presenterade lösningar , tillvägagångssätt och metoder .
the student shall have a bachelor's degree in computer science and engineering or equivalent . ||| studenten ska ha en kandidatexamen inom data- och informationsteknik .
in addition , a mandatory pre-requisite to take this course is that the student has established a contact with the examiner of the course ; ||| därutöver är det ett förkunskapskrav att studenten har etablerat kontakt med kursens examinator ;
it is up to the examiner to decide whether a student is accepted or not to the course . ||| det är examinatorn som beslutar om studenten ska antas till kursen eller ej .
standard visual modeling languages , such as uml , taken out of the box , often do not fit an organization's needs . ||| standardiserade visuella modelleringsspråk , såsom uml , tagna direkt ur lådan passar sällan en organisations behov .
extending modeling languages with necessary constructs and features , or creating complementary languages , requires specialist knowledge beyond that of software modeling . ||| att utöka modelleringsspråk med nödvändiga konstruktioner och funktioner , eller skapa kompletterande språk , kräver specialistkunskaper utöver kunskap i modellering av programvara .
the purpose of this course is for the student to get familiarized with contemporary technologies and notations for creation , adaptation , and transformation of modeling languages . ||| syftet med kursen är att studenten ska bekanta sig med moderna tekniker och språk / notationer för att skapa , anpassa och omvandla modelleringsspråk .
standard visual modelling languages , such as uml , do often not fit an organization's needs out of the box . ||| standardsspråk för visuell modellering , t.ex. uml , passar ofta inte en organisations behov .
extending modelling languages with necessary constructs and features , or creating complementary languages , requires specialist knowledge beyond that of software modelling . ||| att utöka modelleringsspråk med nödvändiga konstruktioner och funktioner eller att skapa ett nytt språk , kräver specialistkunskaper utöver kunskap i programvaru-modellering .
the purpose of this course is to familiarize the student with contemporary technologies and notations for creation , adaptation , and transformation of modeling languages . ||| syftet med kursen är att studenterna blir förtrogna med modern teknik och språk / notation för att skapa , anpassa och omvandla modelleringsspråk .
examination consists of two parts : a written examination ( 4,5 hec ) and a project examination ( 3 hec ) . ||| examinationen består av två delar : en skriftlig tentamen ( 4,5 hp ) och ett projekt ( 3 hp ) .
the written examination is individual . ||| den skriftliga tentamen är individuell .
the project examination is based on the outcome of the group work . ||| projekt-examinationen baseras på resultatet av gruppens arbete .
for the written examination the grading scale used is five , four , three , not passed . ||| för skriftlig tentamen används betygsskalan underkänt , 3 , 4 , 5 .
for the project the grading scale used is passed and not passed . ||| för projektet används betygsskalan godänd och ej godkänd .
for passed ( 3 ) as a complete course grade , both the written exam and the project part must have been awarded passed . ||| för godkänd ( 3 ) på hela kursen , krävs att både skriftlig examen och projektet har erhållit betyget godkänd .
for 4 or 5 , the project part must have been awarded passed , and the written exam must have been awarded 4 respectively 5 . ||| för 4 eller 5 krävs att projektet har erhållit betyget godkänd , och skriftlig tentamen har erhållit betyget 4 respektive 5 .
knowledge and understanding ||| kunskap och förståelse
explain the following concepts : models , metamodel , constraints , transformation , semantics , abstract and concrete syntax ; ||| förklara följande begrepp : modeller , meta , begränsningar , transformation , semantik , abstrakt och konkret syntax ;
explain the architecture of contemporary modeling frameworks ||| förklara arkitekturen av samtida modelleringsramverk
explain how domain specific modeling languages can be realized within a contemporary modeling framework ||| förklara hur domänspecifika modelleringsspråk kan realiseras inom en samtida modellering ram
skills and abilities ||| färdigheter och förmågor
construct domain specific languages , e.g. specify metamodels including syntax and semantics ||| konstruera domänspecifika språk , t.ex. , specificera metamodels och deras syntax och semantik
construct model editors within a modeling framework ||| realisera modell-editering inom ett modelleringsramverk
create model validators within a modeling framework . ||| realisera modell-validering inom ett modelleringsramverk
specify model transformations and realizes them within a modeling framework . ||| specificera modell transformationer och realisera dem inom ett modelleringsramverk
apply the domain specific modeling approach to an authentic case ||| tillämpa domänspecifik modellering i ett autentiskt fall
judgement and approach . ||| värderingsförmåga och förhållningssätt .
recognize emerging technologies for model driven engineering using relevant information sources ||| känna till ny teknik för modelldrivet arbete genom relevanta informationskällor
select appropriate modeling technologies for a modeling tooling problem at hand ||| välja lämpliga modelleringsteknik för ett modelleringsverktyg problem till hands
the course consists of a series of lectures and a project . ||| kursen består av föreläsningar och ett projekt .
the lectures introduce each theme ; the project explores the themes by development of a modeling tool . ||| föreläsningarna introducerar varje tema ; projektet utforskar teman genom utveckling av ett modelleringsverktyg .
the tool is aimed at an authentic situation , and is realized by a contemporary modeling framework . ||| verktyget syftar till att hantera en autentisk situation , och realiseras genom ett samtida modelleringramverk .
the project consists of weekly iterations , during which the modeling tool is incrementally developed . ||| projektet består av veckovis iterationer , under vilken modelleringsverktyget stegvis utvecklas .
project work is carried out in teams of 6 students , with support of a group supervisor . ||| projektarbetet utförs i grupper , med stöd av en grupphandledare .
to be eligible for the course the student should have ||| för behörighet till kursen krävs minst
1) have a bachelor degree in software engineering , computer science or equivalent , ||| 1) en kandidatexamen i software engineering , programvaruteknik , datavetenskap eller motsvarande ,
2) successfully completed a course in object oriented programming e.g. dat042 , dat050 , dat055 , dat170 , tda545 , tda550 or equivalent , and ||| 2) en godkänd kurs i objektorienterad programmering , t.ex. dat042 , dat050 , dat055 , dat170 , tda545 , tda550 eller motsvarande , och
3) successfully completed a course in software modeling e.g.tda593 or equivalent . ||| 3) en godkänd kurs i mjukvarumodellering t ex tda593 eller motsvarande .
software development organizations need to constantly improve to become faster , better , and more efficient . ||| mjukvaruföretag måste ständigt förbättra sig för att bli snabbare , bättre och mer effektiv .
the course prepares students for the master thesis project and improves the student's ability to conduct phd studies . ||| kursen förbereder studenterna för examensarbete och förbättrar elevens förmåga att bedriva forskarstudier .
this course is for students who are interested in the empirical methods applied to the field of software engineering . ||| kursen är för studenter som är intresserade av att lära sig applicera olika empiriska metoder inom programvaruteknik .
the course introduces quantitative and qualitative methods in software engineering with accompanying statistical methods used for analysis . ||| kursen introducerar kvantitativa och kvalitativa metoder inom programvaruteknik .
the course contains : ||| kursen innehåller :
descriptive and inferential statistical methods applied to software engineering . ||| deskriptiv och inferentiell statistik applicerat på programvaruteknik .
conducting qualitative and quantitative methods in software engineering . ||| kvalitativa metoder i programvaruteknik .
the course is examined by three written lab assignments carried out in groups of normally 3-4 students . ||| kursen examineras genom tre inlämningsuppgift ( labbar ) som genomförs i grupp ( normalt 3-4 studenter ) .
the course is also examined by an individual written hall-exam . ||| kursen examineras slutligen också med en skriftlig salstenta .
the assignments are both theoretical and practical in nature . ||| inlämningsuppgifter är teoretiska och praktiska till sin natur .
1. knowledge and understanding : ||| 1. kunskaper och förståelse :
a. describe the principles of empiricism in software engineering . ||| a. förstå principerna avseende empiri inom programvaruteknik .
b. describe the principles of case study research / experiments / surveys . ||| b. förståelse principerna bakom fallstudier / experiment / enkäter .
c. describe the principles of meta-analytical studies . ||| c. beskriva de underliggande principerna för meta-analytiska studier .
d. explain the importance of research ethics . ||| d. förklara vikten av forskningsetik .
e. recognise and define code of ethics for when conducting research in software engineering . ||| e. känna till och definiera " code of ethics " gällande forskning inom programvaruteknik .
f. discuss and explain the most common ethical models in research . ||| f. diskutera och förklara the vanligaste etiska modellerna inom forskningen .
g. state and explain the importance of threats to validity and how to control said threats . ||| g. redogöra för och förklara vikten av validitetshot och hur man kan kontrollera dessa typer av hot .
2. skills and abilities : ||| 2. färdigheter och förmågor :
a. design an empirical study . ||| a. designa en empirisk studie .
b. analyse descriptive statistics and decide on appropriate analysis methods . ||| b. analysera deskriptiv statistik och definiera lämpliga analysmetoder .
c. use and interpret code of ethics for software engineering research . ||| c. använda och förklara " code of ethics " för programvaruteknisk forskning .
3. judgement and approach : ||| 3. värderingsförmåga och förhållningssätt :
a. state and discuss the tools used for data analysis and , in particular , judge their output . ||| a. ange och diskutera verktyg för dataanalys och , i synnerhet , bedöma verktygens resultat .
b. judge the appropriateness of particular empirical methods and their applicability to solve various and disparate software engineering problems . ||| b. bedöma lämpligheten i olika empiriska metoder och deras tillämpbarhet i att lösa olika och disparata programvarutekniska problemställningar .
c. question and assess common ethical issues in software engineering research . ||| c. ifrågasätta och bedöma vanliga etiska frågeställningar inom programvaruteknisk forskning .
the course introduces quantitative and qualitative methods in software engineering research with accompanying statistical methods used for analysis . ||| kursen introducerar kvantitativa och kvalitativa metoder för programvaruteknisk forskning tillsammans med statistiska metoder för att analysera resultat .
the course contains : ||| kursen innehåller :
descriptive and inferential statistical methods applied to software engineering . ||| deskriptiva och inferentiella statistiska metoder applicerade inom programvaruteknik .
conducting qualitative and quantitative methods in software engineering . ||| användning av kvantitativa och kvalitativa metoder .
methods for analysing quantitative and qualitative data in software engineering . ||| metoder för att analysera kvantitativ och kvalitativ data inom programvaruteknik .
usage of statistical tools . ||| användandet av statistiska verktyg .
the course provides a practical introduction to software engineering . ||| kursen ger en praktisk introduktion till mjukvaruutveckling .
it is up to every team to adapt the theory and use the tools to define their own way of working ||| det är upp till varje team att anpassa teori , anamma verktyg och skapa sitt eget sätt att arbeta .
the course is examined in two parts : a project deliverable ( source code , binary , and documentation ) and a final report that reflects on the project decisions and outcome . ||| kursen examineras i två delar : en leverabel från projektet ( källkod , applikation , och dokumentation ) och en slutrapport där studenterna reflekterar över beslut inom projektet och dess utfall .
these together are weighted and scored on a scale 0 to 100 . ||| dessa två delar vägs samman och poängsätts från 0 till 100 .
detailed weights and grading criteria are available in the course pm . ||| en exakt beskrivning angående viktning och betygskriterier finns i kurs-pm .
the scores are set on a group level but are adjusted for individual contribution . ||| poäng för de två sätts på gruppnivå , men den slutgiltiga poängen anpassas på individnivå , t.ex. baserat på individuellt bidrag .
after completion of this course the student should possess the following understanding , skills , abilities and judgement : ||| efter fullgjord kurs skall studenten besitta följande kunskaper , färdigheter och förmågor :
1. knowledge and understanding , the student should : ||| kunskap och förståelse , studenten skall kunna :
a. identify the complexities of software design and development ||| identifiera svårigheter inom mjukvarudesign och implementation
b. describe the fundamentals of software engineering , such as stakeholders and requirements ||| beskriva grundläggande koncept inom mjukvaruutveckling , t.ex. intressenter och krav
2. skills and abilities , the student should : ||| färdigheter och förmågor , studenten skall kunna :
a. elicitate requirements from and design a solution to a real-world problem ||| locka fram ( elicitera ) krav från och designa en lösning till ett verkligt problem
c. apply skills from programming courses and other relevant courses in a project-like environment ||| tillämpa färdigheter från programmeringskurser och andra relevanta kurser i en projektliknande miljö
d. learn new tools and apis on his/her own ||| lära sig nya verktyg och apier på egen hand
the course is organized as a project where the students work in teams of usually six students to address a real-world software engineering task . ||| kursen organiseras som ett projekt där studenterna arbetar i team om sex studenter ( vanligtvis ) för att lösa en realistisk mjukvaruutvecklingsuppgift .
the teams have weekly supervision meetings . ||| teamen har veckovisa handledningsmöten .
the project is supplemented by lectures that provide insight into the task the students are working on and software engineering in general . ||| som supplement till projektet ges en serie föreläsningar som ger fördjupad insikt i uppgiften samt mjukvaruutveckling i stort .
testing is one of the most used verification and validation technique in industry . ||| testning är ett av de mest använda verifiering- och valideringstekniker inom industrin .
this course provides the students with a general background on testing techniques , with a focus on the theory and practice of model-based testing . ||| denna kurs ger studenterna en allmän bakgrund om testmetoder , med fokus på teori och praktik av modellbaserad testning .
the course provides the students with a background on the theory and practice of model-based testing , including how testing tools can be used to improve software quality . ||| kursen ger studenten med en bakgrund på teori och praktikav modellbaserad testning , inklusive hur testverktyg kananvändas för att förbättra mjukvarans kvalité ( software quality ) .
general test techniques are explained with focus on model-based testing . ||| allmänna provningstekniker förklaras med fokus på modellbaserad testning .
students will get hands-on experience in building a model for testing and they use this model for both testing and verification purposes . ||| eleverna kommer att få praktisk erfarenhet av att bygga en modell för testning och de använder denna modell för både testning och verifiering .
examination consists of two parts : a written exam ( 4.5 hec ) , and a hand-in of assignments ( 3 hec ) . ||| examinationen består av två delar : en skriftlig tentamen ( 4,5 hp ) , samt inlämnade uppdrag ( 3 hp ) .
the hand-in assignments are normally carried out individually or in pairs , and the written exam is individual . ||| de inlämningsuppgifter utförs normalt individuellt eller i par , och tentamen är individuell .
for the written exam is fail ( u ) , 3 , 4 and 5 . ||| betygsskala i skriftlig tentamen : underkänd ( u ) , 3 , 4 , och 5 .
knowledge and understanding : ||| kunskap och förståelse :
- explain the distinction between software verification and software validation ; ||| - förklara skillnaden mellan verifiering och validering av programvara ;
- describe the connection between software development phases and kinds of testing ; ||| - beskriv sambandet mellan mjukvaruutvecklingsfaser och olika typer av tester ;
- describe and explain ( a number of ) different test methods , and use them in practical situations ; ||| - beskriva och förklara ( ett antal ) olika testmetoder , och använda dem i praktiska situationer ;
- describe and explain what model-based testing is . ||| - beskriva och förklara vad modellbaserad testning är .
skills and abilities : ||| färdigheter och förmågor :
- construct models in the modeling and specification languages learned in the course ; ||| - konstruera modeller i modellerings och specifikationsspråk lärt i kursen ;
- construct appropriate and meaningful test and interpret and explain ( to stakeholders ) the results of the application of such test cases ( using appropriate tools ) to practical examples ; ||| - konstruera lämpliga och meningsfulla tester och tolka och förklara ( till intressenter ) resultaten av tillämpningen av sådana testfall ( med lämpliga verktyg ) till praktiska exempel ;
- apply model based testing on realistic examples . ||| - applicera modellbaserad testning på realistiska exempel .
judgement and approach : ||| värderingsförmåga och förhållningssätt :
- exemplify and describe tools used for testing software , and use them and interpret their output ; ||| - exemplifiera och beskriva verktyg som används för testning av programvara , och använda dem och tolka resultaten ;
- identify and hypothesize about sources of program failures , and reflect on how to better verify the correctness of such programs . ||| - identifiera och göra hypoteser om källor till program misslyckanden , och reflektera över hur man bättre kontrollera riktigheten av sådana program .
the students are expected to be active during the whole mini-module . ||| studenterna förväntas vara aktiva under hela minimodulen .
the exercises are both theoretical and practical in nature . ||| övningarna är både av teoretisk och praktisk slag .
to be eligible for the course the student should have a bachelor degree in software engineering , computer science or equivalent , including a completed course in programming . ||| för behörighet till kursen krävs minst en kandidatexamen i programvaruteknik , datavetenskap eller motsvarande , och en godkänd kurs i programmering .
knowledge of data structures and propositional logic is recommended . ||| kunskap om datastrukturer och satslogik rekommenderas .
initial development is only a small phase of a system's development lifecycle , typically followed by many years of system evolution . ||| initial utveckling är bara en liten fas av ett systems livscykel , vanligen följs av många år av vidareutveckling .
the purpose of this course is to familiarise the student with situations , activities , and techniques typical for software evolution , such as adding a new feature , refactoring , automating variability or testing , improving performance , re-balancing non functional requirements , and so on . ||| syftet med kursen är att den studerande blir förtrogen med situationer , aktiviteter och metoder som är typiska för vidareutveckling av mjukvara , till exempel att lägga till en ny funktion , refactoring , automatisering av variabilitet eller testning , förbättra prestanda , re-balansering icke-funktionella krav , och så vidare .
assessment consists of a series of poster sessions during the semester , and a final written report ( 1 per group ) . ||| bedömningen består av en serie av poster-tillfällen under terminen , samt en slutlig skriftlig rapport ( 1 per grupp ) .
the poster sessions are used for formative assessment , whereas the final report is used for summative assessment . ||| poster-tillfällen används för formativ bedömning , medan den slutliga rapporten används för summativ bedömning .
grades are individual and based on the content of the group's report and the individual's degree of contribution to the project as a whole . ||| betyg är individuell och baserad på innehållet i gruppens rapport och individens bidrag till projektet som helhet .
the grading scale comprises fail , ( u ) , 3 , 4 and 5 . ||| betygsskalan består av underkänd ( u ) , 3 , 4 och 5 .
for grade 3 , all knowledge goals above must be satisfied . ||| för betyg 3 , ska alla kunskapsmål ovan uppfyllas .
for grade 5 , the project as a whole , must have managed to deliver an improved software product to the product owning organisation ( typically an open source project ) , and got acceptance for the improvement . ||| för betyg 5 , måste projektet som helhet ha lyckats leverera en förbättrad programvara till den produktägande organisationen ( vanligtvis ett open source-projekt ) , och fått acceptans för den förbättring gruppen har gjort .
1. knowledge and understanding , the student is able to ||| 1. kunskap och förståelse studenten ska kunna :
* explain the notion of software product quality as defined by iso9126 . ||| förklara begreppet programvarukvalitet enligt definitionen i iso9126
* summarize state of the art in methods and tools for quality improvement , in one of the quality areas of iso9126 ( i.e. , functionality , reliability , usability , efficiency , maintainability , portability , and sub-areas of these ) . ||| sammanfatta aktuella metoder och verktyg för kvalitetsutveckling i ett av kvalitetsområdena i iso9126 ( dvs funktionalitet , tillförlitlighet , användbarhet , effektivitet , underhållbarhet , bärbarhet och delområden av dessa )
* explain the challenges associated with software evolution . ||| förklara de utmaningar som är förknippade med programvaruutveckling
2. skills and abilities , the student is able to ||| 2. färdigheter och förmågor studenten ska kunna :
* evaluate the quality of a software product using a quality model . ||| utvärdera kvaliteten av en programvara med hjälp av en kvalitetsmodell
* improve the quality of a software product in one area of software product quality . ||| förbättra kvaliteten på en programvara i ett område av programvara kvalitet
* collaborate with peers working towards different improvement goals on the same product . ||| samarbeta med kollegor som arbetar mot olika förbättringsmål på samma produkt
* interact with a product-owning organisation . ||| interagera med en produktägande organisation
3. judgement and approach , the student is able to ||| 3. värderingsförmåga och förhållningssätt studenten ska kunna :
* select an authentic software product in need for quality improvement . ||| välja en programvara i behov av kvalitetsförbättringar
* select improvement methods and techniques appropriate for a quality improvement task in at least one of the areas above . ||| välja metoder och tekniker som är lämpliga för kvalitetsförbättring i åtminstone ett av de områden som nämnts ovan
(1) a course in programming ( e.g. tda545 object-oriented programming ) , i ||| (1) en godkänd kurs i programmering ( t ex tda545 objektorienterad programmering eller motsvarande ) ,
(3a) dat231 requirements engineering , ||| (3a) dat231 kravhantering ,
(3b) dat240 model-driven software development , ||| (3b) dat240 modelldriven mjukvaruutveckling ,
(3c) dat220 advanced software architecture , ||| (3c) dat220 avancerad mjukvaruarkitektur , eller
(3d) dat260 model-based testing , or ||| (3d) dat260 modellbaserad testning .
the course is intended to give an overview of the energy-dissipation aspects of computers and computing , ranging from electronic circuits to operating systems and from battery-powered pocket devices to supercomputers and data centers . ||| kursen syftar till att ge en översikt över de aspekter av datorer som leder till energiförbrukning , allt från elektroniska kretsar till operativsystem och från batteridrivna enheter till superdatorer och datacenter .
grades will be determined based on performance on the written and oral assignments ( 40 % ) , labs ( 40 % ) , and take-home ( open-book ) exam ( 20 % ) . ||| betyg kommer att fastställas baserat på prestation på de skriftliga och muntliga uppgifterna ( 40 % ) , laborationer ( 40 % ) , och hemtentamen ( öppen bok ) ( 20 % )
the course is given in english . ||| kursen ges på engelska .
teaching is through lectures , class exercises , and laboratory sessions ( some of which we will use to work on presentation skills ) . ||| undervisningen bedrivs genom föreläsningar , övningar och laborationer ( vilka vi kommer att använda för att arbeta på presentationsteknik ) .
grades ||| betyg
the final grade is calculated based on individual grades on the three types together with their weights mentioned above . ||| slutbetyget beräknas utifrån individuella betyg på de tre typerna tillsammans med sina vikter som nämns ovan .
the course consists of a lecture series , homework assignments , oral and written presentations , and labs . ||| kursen består av en föreläsningsserie , hemuppgifter , muntliga och skriftliga presentationer och laborationer .
much of the work for this course will consist of independent reading assignments . ||| en stor del av arbetet för denna kurs kommer att bestå av oberoende instuderingsuppgifter .
students will give frequent oral presentations to demonstrate their understanding of the readings and to facilitate discussion . ||| studenterna kommer därför att ge täta muntliga presentationer dels för att visa sin förståelse av instuderingsuppgifterna och dels för att skapa diskussioner .
specific skills to be practiced range from short " elevator pitches " to longer lectures ( done within a team ) in a fun , relaxed , and collaborative setting . ||| presentationerna kommer också att leda till träning på allt från korta " elevator pitches " till längre föreläsningar ( utförda i en grupp ) i en rolig , avslappnad och samverkande omgivning .
discussions will not only focus on technology , but also on how that technology affects the world's carbon footprint and will likely impact society now and in future generations . ||| diskussionerna kommer inte bara att fokusera på teknik , men också på hur tekniken dels påverkar världens koldioxidutsläpp just nu och dels på hur den sannolikt kommer att inverka på samhället i kommande generationer .
computer architecture ( dat105 ) or equivalent is strongly recommended . ||| datorarkitektur ( dat105 ) eller motsvarande rekommenderas starkt .
students must understand how the processor pipeline and caches work and must be comfortable reading assembly language . ||| studenterna måste förstå funktionen hos en processors pipeline och cachar och måste kunna läsa assemblerkod .
the aim of the course is to introduce the principles and practice of parallel programming in a functional programming language . ||| syftet med kursen är att introducera principer och praktiska tekniker för parallell programmering i ett funktionellt programmeringsspråk .
by parallel programming , we mean programming using multiple hardware cores or processors in order to gain speed . ||| med parallell programmering menas användning av flera hårdvaruenheter ( kärnor eller processorer ) för att öka beräkningskapaciteten .
the course covers approaches to parallel functional programming in both haskell and erlang . ||| kursen belyser metoder för parallell funktionell programmering i både haskell och erlang .
it covers current research on these topics , and relies heavily on scientific papers as its source materials . ||| akutell forskning inom ämnet presenteras , och kursen använder vetenskapliga artiklar som kursmaterial .
the course covers the principles and practice of parallel programming in both haskell and erlang . ||| kursen behandlar principer och praktiska tekniker för parallell programmering i haskell och erlang .
advantages of functional approaches to parallelism : immutability , absence of data races , determinism . ||| fördelar med parallell funktionell programmering : oföränderlighet ( immutability ) , avsaknad av synkroniseringsfel , ( determinism ) .
profiling parallel functional programs : granularity , bottlenecks , locality , data-dependencies . ||| att profilera parallella funktionella program : kornighet , flaskhalsar , lokalitet , databeroenden
parallel functional algorithms : divide-and-conquer . ||| parallella funktionella algoritmer : " söndra-och-härska " .
approaches to expressing parallelism in haskell : the eval monad , the par monad , parallel strategies , skeletons , data parallelism . ||| metoder för att uttrycka parallellism i haskell : " eval-monaden " , " par-monaden " , parallella strategier , skelett och dataparallellism .
functional approaches to gpu programming . ||| funktionell gpu programmering .
parallelisation and distribution for erlang . ||| parallellisering och distribuering i erlang .
scalability . ||| skalbarhet .
handling errors in a massively parallel system . ||| felhantering i ett massivt parallellt system .
knowledge and understanding ||| kunskap och förståelse
1. distinguish between concurrency and parallelism . ||| 1. förstå betydelsen av skillnad mellan samtidighet ( concurrency ) och parallellism
2. give an overview of approaches to parallelism in functional programming languages in the scientific literature . ||| 2. kunna beskriva metoder för parallellism inom funktionella programspråk i den vetenskapliga litteraturen .
skills and abilities ||| färdigheter
1. write , modify and test parallel functional programs , to run on a variety of architectures such as shared memory multiprocessors , networks of commodity servers , and gpus . ||| 1. skriva , modifiera och testa parallella funktionella program , avsedda för olika datorsystemarkitekturer inklusive multiprocessorer med delat minne , nätverk av servrar , och grafikprocessorer ( gpu ) .
2. interpret parallelism profiles and address bottlenecks . ||| 2. tolka exekveringsprofiler av parallella program och åtgärda flaskhalsar .
judgement and approach ||| värderingsförmåga och förhållningssätt
1. identify when using a functional language may be appropriate for solving a parallel programming problem . ||| 1. identifiera under vilka omständigheter ett funktionellt språk är lämpligt för att läsa ett parallellt programmeringsproblem .
2. select an appropriate form of parallel functional programming for a given problem , and expain the choice . ||| 2. välja den form av parallell funktionell programmering som passar för ett givet problem , och förklara valet .
students complete obligatory laboratory assignments . ||| gästföreläsningar hålls av externa experter och ledande forskare .
the requirement for the course is to have successfully completed two years within the subject computer science or equivalent . ||| studenter skall ha fullföljt två års studier inom datavetenskap , datateknik eller jämförbar utbildning .
course participants must also have completed an introductory course in functional programming , preferably using haskell or erlang . ||| kursdeltagare skall ha genomgått en introduktionskurs i funktionell programmering , företrädesvis användande haskell eller erlang .
( examples at chalmers are tda452 and tda555 ) . ||| ( kursexempel på chalmers är tda452 och tda555 . )
the course also aims to give the student technical skills in the design , integration and verification of hardware and software for processor-based systems . ||| kursen ska också ge studenten tekniska färdigheter i att konstruera , integrera och verifiera hård- och mjukvara för processorbaserade system .
design and verification of a microprocessor system , which includes a microprocessor and some peripheral devices , that is developed for specific functionality and performance . ||| konstruktion och verifiering av ett mikrodatorsystem , inklusive mikroprocessor och periferienheter , som tas fram för en viss funktionalitet och viss prestanda .
methodology for project work , including planning , execution , follow up and version control . ||| metodik för projektarbete , inklusive planering , drift , uppföljning och versionshantering .
technical writing including technical documentation , minutes and final report . ||| skriftlig framställning i form av dokumentation , protokoll och slutrapport .
the course , which is run with project groups of 6-8 students , leads to individual grades ( u , 3 , 4 and 5 respectively ) . ||| kursen , som drivs på projektform i grupper om 6-8 studenter , leder till individuella betyg ( u , 3 , 4 respektive 5 ) .
the grade is based on different interacting parameters , namely the quality of project work ( planning , project effort ) , technical quality ( compliance with project plan , quality of final product ) , and quality of written communication ( disciplinary language , information structure , rhetoric , audience adapted argumentation ) . ||| betyget baseras på olika samverkande parametrar , nämligen kvalitet i projektdrift ( planering , konstruktionsarbete ) , teknisk kvalitet ( uppfyllande av plan , kvalitet hos slutprodukt ) samt kvalitet i skriftlig kommunikation ( disciplinärt språk , informationsstruktur , retorik , publikanpassad argumentation ) .
assessments are carried out for four distinct deliverables : ||| betygsgrundande bedömning sker för fyra speciella leveranser :
1) project plan , ||| 1) projektplan ,
2) opposition note on another group's draft of the final report , ||| 2) oppositionskommentar på annan grupps utkast på slutrapport ,
3) project demonstration , and ||| 3) demonstration av slutprodukt samt
4) final report . ||| 4) slutrapport .
in addition , assessments are done on several occasions during the course with respect to the project meeting management and version control . ||| dessutom sker betygsgrundande bedömning vid flera tillfällen under kursens gång med avseende på projektmöteshantering och versionshantering .
the assessments above lead to a group grade . ||| resultatet av dessa bedömningar är ett gruppbetyg .
based on each student's contribution to the project work , an individual grade , which may be higher or lower than the group grade , is established . ||| baserat på respektive students bidrag till projektgruppens arbete sätts ett individuellt betyg som kan vara högre eller lägre än gruppbetyget .
1. design , verify and demonstrate a microprocessor system that consists of a microprocessor and appropriate peripherals ( possibly also some interface electronics and a graphical user interface ) to meet specified functionality and performance . ||| 1. konstruera , verifiera och demonstrera ett mikrodatorsystem som består av en mikroprocessor och lämpliga periferienheter ( eventuellt också viss elektronik för gränssnitt och ett grafiskt gränssnitt ) för att uppfylla specificerad funktionalitet och prestanda.
